raw_club_id,raw_club_name,raw_club_name_ascii,canonical_club_id,canonical_club_name,alias_rule,merge_confidence,player_count_for_raw_club_id,teams_using_raw_club_id,normalization_notes
c_olympiacos_41b104a8,Olympiacos,Olympiacos,c_olympiacos_41b104a8,Olympiacos,unchanged,not_applicable,2,Morocco:1; Iran:1,No normalization merge applied.
c_omonia_6a13a5a4,Omonia,Omonia,c_omonia_6a13a5a4,Omonia,unchanged,not_applicable,1,Cape Verde:1,No normalization merge applied.
c_orlando_city_33cea553,Orlando City,Orlando City,c_orlando_city_33cea553,Orlando City,unchanged,not_applicable,3,Canada:1; Paraguay:1; Croatia:1,No normalization merge applied.
c_orlando_pirates_1c8e17d1,Orlando Pirates,Orlando Pirates,c_orlando_pirates_1c8e17d1,Orlando Pirates,unchanged,not_applicable,8,South Africa:8,No normalization merge applied.
c_osasuna_f20766a6,Osasuna,Osasuna,c_osasuna_f20766a6,Osasuna,unchanged,not_applicable,2,Spain:1; Croatia:1,No normalization merge applied.
c_pachuca_a4c33119,Pachuca,Pachuca,c_pachuca_a4c33119,Pachuca,unchanged,not_applicable,1,Ecuador:1,No normalization merge applied.
c_pafos_0aaaf55f,Pafos,Pafos,c_pafos_0aaaf55f,Pafos,unchanged,not_applicable,3,Bosnia-Herzegovina:1; Sweden:1; Ghana:1,No normalization merge applied.
c_pakhtakor_52dbbda0,Pakhtakor,Pakhtakor,c_pakhtakor_52dbbda0,Pakhtakor,unchanged,not_applicable,4,Uzbekistan:3; Iraq:1,No normalization merge applied.
c_palmeiras_a7b8813c,Palmeiras,Palmeiras,c_palmeiras_a7b8813c,Palmeiras,unchanged,not_applicable,7,Paraguay:3; Uruguay:2; Argentina:1; Colombia:1,No normalization merge applied.
c_panathinaikos_36cb748c,Panathinaikos,Panathinaikos,c_panathinaikos_36cb748c,Panathinaikos,unchanged,not_applicable,2,Ivory Coast:1; Uruguay:1,No normalization merge applied.
c_paok_d88141c2,PAOK,PAOK,c_paok_d88141c2,PAOK,auto_merge_curated_alias,high,1,Mexico:1,Collapsed source variant to canonical club 'PAOK'.
c_paok_salonika_f8af5c0c,PAOK Salonika,PAOK Salonika,c_paok_d88141c2,PAOK,auto_merge_curated_alias,high,1,Ghana:1,Collapsed source variant to canonical club 'PAOK'.
