city_key,country,city,preferred_city_query,review_status,review_priority,source_row_count,club_names,stadiums,primary_stadium_context_query,primary_club_context_query,trusted_stadium_hint_coord_count,existing_club_coord_centroid_lat,existing_club_coord_centroid_lon,existing_coordinate_basis_values,existing_coordinate_source_urls,data_quality_flags,review_notes
italy__florence__4b309cb8,Italy,Florence,"Florence, Italy",ready_for_geocoding_with_local_hints,medium,1,ACF Fiorentina,Stadio Artemio Franchi,"Stadio Artemio Franchi, Florence, Italy","ACF Fiorentina, Florence, Italy",1,43.78082200,11.28225800,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q270474,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__frosinone__2f90915e,Italy,Frosinone,"Frosinone, Italy",ready_for_geocoding_with_local_hints,medium,1,Frosinone,Benito Stirpe Stadium,"Benito Stirpe Stadium, Frosinone, Italy","Frosinone, Frosinone, Italy",1,41.63426000,13.32186600,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q29655396,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__naples__797a346e,Italy,Naples,"Naples, Italy",ready_for_geocoding_with_local_hints,medium,1,Napoli,Stadio Diego Armando Maradona,"Stadio Diego Armando Maradona, Naples, Italy","Napoli, Naples, Italy",1,40.82796700,14.19300800,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q82709,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__parma__f1a347d0,Italy,Parma,"Parma, Italy",ready_for_geocoding_with_local_hints,medium,1,Parma,Stadio Ennio Tardini,"Stadio Ennio Tardini, Parma, Italy","Parma, Parma, Italy",1,44.79491667,10.33844444,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q610546,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__reggio-emilia__53c08c5d,Italy,Reggio Emilia,"Reggio Emilia, Italy",ready_for_geocoding_with_local_hints,medium,1,US Sassuolo Calcio,Mapei Stadium - Città del Tricolore,"Mapei Stadium - Città del Tricolore, Reggio Emilia, Italy","US Sassuolo Calcio, Reggio Emilia, Italy",1,44.71472200,10.64972200,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q1887221,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__rome__3ce952dd,Italy,Rome,"Rome, Italy",ready_for_geocoding_with_local_hints,medium,1,AS Roma,Stadio Olimpico,"Stadio Olimpico, Rome, Italy","AS Roma, Rome, Italy",1,41.84111100,12.47000000,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q3496273,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__udine__d81bc04c,Italy,Udine,"Udine, Italy",ready_for_geocoding_with_local_hints,medium,1,Udinese,Stadio Friuli,"Stadio Friuli, Udine, Italy","Udinese, Udine, Italy",1,46.08160300,13.20013600,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q640031,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__venice__2e7ee42f,Italy,Venice,"Venice, Italy",ready_for_geocoding_with_local_hints,medium,1,Venezia,Stadio Pierluigi Penzo,"Stadio Pierluigi Penzo, Venice, Italy","Venezia, Venice, Italy",1,45.42776100,12.36373100,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q588926,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
italy__verona__ea095a6c,Italy,Verona,"Verona, Italy",ready_for_geocoding_with_local_hints,medium,1,Verona,Stadio Marcantonio Bentegodi,"Stadio Marcantonio Bentegodi, Verona, Italy","Verona, Verona, Italy",1,45.43535600,10.96864700,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q737093,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
japan__chofu__e754d8dd,Japan,Chōfu,"Chōfu, Japan",ready_for_geocoding_with_local_hints,medium,1,FC Tokyo,Ajinomoto Stadium,"Ajinomoto Stadium, Chōfu, Japan","FC Tokyo, Chōfu, Japan",1,35.66427800,139.52713900,wikidata_home_venue_P115_to_stadium_P625,https://www.wikidata.org/wiki/Q412824,,Trusted stadium-based coordinates are available as local hints only; confirm true city coordinates from a city-level source.
