raw_club_id,raw_club_name,raw_club_name_ascii,canonical_club_id,canonical_club_name,alias_rule,merge_confidence,player_count_for_raw_club_id,teams_using_raw_club_id,normalization_notes,final_player_count_for_canonical_club_id,final_teams_using_canonical_club_id
c_borussia_monchengladbach_e9b82a3e,Borussia Mönchengladbach,Borussia Monchengladbach,c_borussia_monchengladbach_e9b82a3e,Borussia Mönchengladbach,auto_merge_curated_alias,high,4,United States:2; South Korea:1; Switzerland:1,Collapsed source variant to canonical club 'Borussia Mönchengladbach'.,5,Bosnia-Herzegovina:1; South Korea:1; Switzerland:1; United States:2
c_botafogo_99e3bf74,Botafogo,Botafogo,c_botafogo_99e3bf74,Botafogo,unchanged,not_applicable,1,Brazil:1,No normalization merge applied.,1,Brazil:1
c_bournemouth_423b488c,Bournemouth,Bournemouth,c_afc_bournemouth_61e18bcd,AFC Bournemouth,auto_merge_curated_alias,high,4,Scotland:2; Brazil:1; Netherlands:1,Collapsed source variant to canonical club 'AFC Bournemouth'.,5,Brazil:1; Netherlands:1; Scotland:2; United States:1
c_braga_f3599df6,Braga,Braga,c_braga_f3599df6,Braga,unchanged,not_applicable,3,Czechia:1; Sweden:1; Austria:1,No normalization merge applied.,3,Austria:1; Czechia:1; Sweden:1
c_braintree_town_abe87f1e,Braintree Town,Braintree Town,c_braintree_town_abe87f1e,Braintree Town,unchanged,not_applicable,1,New Zealand:1,No normalization merge applied.,1,New Zealand:1
c_brentford_99ebeb82,Brentford,Brentford,c_brentford_99ebeb82,Brentford,unchanged,not_applicable,4,Brazil:1; Scotland:1; Norway:1; England:1,No normalization merge applied.,4,Brazil:1; England:1; Norway:1; Scotland:1
c_brighton_a6652bc3,Brighton,Brighton,c_brighton_hove_albion_5bfa8704,Brighton & Hove Albion,auto_merge_curated_alias,high,5,Netherlands:3; Germany:1; Sweden:1,Collapsed source variant to canonical club 'Brighton & Hove Albion'.,8,Belgium:1; Germany:1; Netherlands:3; Paraguay:1; Sweden:1; Türkiye:1
c_brighton_hove_albion_5bfa8704,Brighton & Hove Albion,Brighton & Hove Albion,c_brighton_hove_albion_5bfa8704,Brighton & Hove Albion,auto_merge_curated_alias,high,3,Paraguay:1; Türkiye:1; Belgium:1,Collapsed source variant to canonical club 'Brighton & Hove Albion'.,8,Belgium:1; Germany:1; Netherlands:3; Paraguay:1; Sweden:1; Türkiye:1
c_brondby_701a4084,Brondby,Brondby,c_brondby_701a4084,Brondby,unchanged,not_applicable,2,Bosnia-Herzegovina:1; Austria:1,No normalization merge applied.,2,Austria:1; Bosnia-Herzegovina:1
c_burnley_b7c3fe1e,Burnley,Burnley,c_burnley_b7c3fe1e,Burnley,unchanged,not_applicable,5,South Africa:1; Switzerland:1; Sweden:1; Tunisia:1; Congo DR:1,No normalization merge applied.,5,Congo DR:1; South Africa:1; Sweden:1; Switzerland:1; Tunisia:1
c_buxoro_ba979d39,Buxoro,Buxoro,c_buxoro_ba979d39,Buxoro,unchanged,not_applicable,2,Uzbekistan:2,No normalization merge applied.,2,Uzbekistan:2
c_cagliari_b9017662,Cagliari,Cagliari,c_cagliari_b9017662,Cagliari,unchanged,not_applicable,1,Colombia:1,No normalization merge applied.,1,Colombia:1
c_casa_pia_c00111a5,Casa Pia,Casa Pia,c_casa_pia_c00111a5,Casa Pia,unchanged,not_applicable,1,Cape Verde:1,No normalization merge applied.,1,Cape Verde:1
c_castellon_8eebb754,Castellón,Castellon,c_castellon_8eebb754,Castellón,unchanged,not_applicable,2,Australia:1; Congo DR:1,No normalization merge applied.,2,Australia:1; Congo DR:1
c_caykur_rizespor_5d094b3b,Çaykur Rizespor,Caykur Rizespor,c_caykur_rizespor_5d094b3b,Çaykur Rizespor,auto_merge_curated_alias,high,1,Haiti:1,Collapsed source variant to canonical club 'Çaykur Rizespor'.,3,Haiti:1; Ivory Coast:1; Türkiye:1
c_caykur_rizesport_14762bac,Caykur Rizesport,Caykur Rizesport,c_caykur_rizespor_5d094b3b,Çaykur Rizespor,auto_merge_curated_alias,high,1,Türkiye:1,Collapsed source variant to canonical club 'Çaykur Rizespor'.,3,Haiti:1; Ivory Coast:1; Türkiye:1
c_celta_vigo_d1c2cf8a,Celta Vigo,Celta Vigo,c_celta_vigo_d1c2cf8a,Celta Vigo,unchanged,not_applicable,2,Sweden:1; Spain:1,No normalization merge applied.,2,Spain:1; Sweden:1
c_celtic_a2eaecf1,Celtic,Celtic,c_celtic_a2eaecf1,Celtic,unchanged,not_applicable,8,Scotland:2; South Korea:1; Canada:1; United States:1; Japan:1; Sweden:1; Tunisia:1,No normalization merge applied.,8,Canada:1; Japan:1; Scotland:2; South Korea:1; Sweden:1; Tunisia:1; United States:1
c_cercle_brugge_02b4f133,Cercle Brugge,Cercle Brugge,c_cercle_brugge_02b4f133,Cercle Brugge KSV,manual_canonical_rename,manual_verified,1,Ivory Coast:1,Canonical name manually changed to 'Cercle Brugge KSV'. No normalization merge applied.,1,Ivory Coast:1
c_cerro_porteno_cf028333,Cerro Porteño,Cerro Porteno,c_cerro_porteno_cf028333,Cerro Porteño,unchanged,not_applicable,2,Paraguay:2,No normalization merge applied.,2,Paraguay:2
c_charleroi_62356bf9,Charleroi,Charleroi,c_charleroi_62356bf9,Charleroi,unchanged,not_applicable,3,Ivory Coast:2; Algeria:1,No normalization merge applied.,3,Algeria:1; Ivory Coast:2
c_charlotte_fc_f185ca79,Charlotte FC,Charlotte FC,c_charlotte_fc_f185ca79,Charlotte FC,unchanged,not_applicable,1,United States:1,No normalization merge applied.,1,United States:1
c_charlton_athletic_f6926677,Charlton Athletic,Charlton Athletic,c_charlton_athletic_f6926677,Charlton Athletic,unchanged,not_applicable,1,Scotland:1,No normalization merge applied.,1,Scotland:1
c_chaves_de187007,Chaves,Chaves,c_chaves_de187007,Chaves,unchanged,not_applicable,1,Cape Verde:1,No normalization merge applied.,1,Cape Verde:1
c_chelsea_e655b01a,Chelsea,Chelsea,c_chelsea_e655b01a,Chelsea,unchanged,not_applicable,10,Senegal:2; Ecuador:1; Netherlands:1; Belgium:1; Spain:1; France:1; Argentina:1; Portugal:1; England:1,No normalization merge applied.,10,Argentina:1; Belgium:1; Ecuador:1; England:1; France:1; Netherlands:1; Portugal:1; Senegal:2; Spain:1
c_chicago_fire_65c1a76f,Chicago Fire,Chicago Fire,c_chicago_fire_65c1a76f,Chicago Fire,unchanged,not_applicable,3,South Africa:1; Canada:1; United States:1,No normalization merge applied.,3,Canada:1; South Africa:1; United States:1
c_chivas_d38ae426,Chivas,Chivas,c_chivas_d38ae426,Chivas,unchanged,not_applicable,5,Mexico:5,No normalization merge applied.,5,Mexico:5
c_club_africain_64656e78,Club Africain,Club Africain,c_club_africain_64656e78,Club Africain,unchanged,not_applicable,2,Tunisia:2,No normalization merge applied.,2,Tunisia:2
c_club_america_49cadc66,Club América,Club America,c_club_america_49cadc66,Club América,auto_merge_curated_alias,high,1,United States:1,Collapsed source variant to canonical club 'Club América'.,4,Mexico:1; United States:1; Uruguay:2
c_club_brugge_ea2adfc5,Club Brugge,Club Brugge,c_club_brugge_ea2adfc5,Club Brugge KV,manual_canonical_rename,manual_verified,5,Belgium:3; Ecuador:1; Sweden:1,Canonical name manually changed to 'Club Brugge KV'. No normalization merge applied.,5,Belgium:3; Ecuador:1; Sweden:1
c_club_tijuana_6e4baf66,Club Tijuana,Club Tijuana,c_club_tijuana_6e4baf66,Club Tijuana,auto_merge_curated_alias,high,1,Ecuador:1,Collapsed source variant to canonical club 'Club Tijuana'.,2,Ecuador:1; Mexico:1
c_cobresal_8c0fe5bd,Cobresal,Cobresal,c_cobresal_8c0fe5bd,Cobresal,unchanged,not_applicable,1,Panama:1,No normalization merge applied.,1,Panama:1
c_colorado_rapids_da865f5e,Colorado Rapids,Colorado Rapids,c_colorado_rapids_da865f5e,Colorado Rapids,unchanged,not_applicable,1,Australia:1,No normalization merge applied.,1,Australia:1
c_colorado_springs_switchbacks_a19366a9,Colorado Springs Switchbacks,Colorado Springs Switchbacks,c_colorado_springs_switchbacks_a19366a9,Colorado Springs Switchbacks,unchanged,not_applicable,1,Haiti:1,No normalization merge applied.,1,Haiti:1
c_columbus_crew_7b68355a,Columbus Crew,Columbus Crew,c_columbus_crew_7b68355a,Columbus Crew,unchanged,not_applicable,2,United States:1; Cape Verde:1,No normalization merge applied.,2,Cape Verde:1; United States:1
c_como_e0ef6211,Como,Como,c_como_e0ef6211,Como,unchanged,not_applicable,4,Senegal:1; Iraq:1; Argentina:1; Croatia:1,No normalization merge applied.,4,Argentina:1; Croatia:1; Iraq:1; Senegal:1
c_copenhagen_7e10c652,Copenhagen,Copenhagen,c_copenhagen_7e10c652,Copenhagen,auto_merge_curated_alias,high,2,Japan:1; Tunisia:1,Collapsed source variant to canonical club 'Copenhagen'.,3,Croatia:1; Japan:1; Tunisia:1
c_corinthians_276924f3,Corinthians,Corinthians,c_corinthians_276924f3,Corinthians,unchanged,not_applicable,1,Netherlands:1,No normalization merge applied.,1,Netherlands:1
c_cosmos_koblenz_125995a0,Cosmos Koblenz,Cosmos Koblenz,c_cosmos_koblenz_125995a0,Cosmos Koblenz,unchanged,not_applicable,1,Haiti:1,No normalization merge applied.,1,Haiti:1
c_coventry_city_4bce22e1,Coventry City,Coventry City,c_coventry_city_4bce22e1,Coventry City,unchanged,not_applicable,2,United States:1; Ghana:1,No normalization merge applied.,2,Ghana:1; United States:1
c_cracovia_5bed2b4b,Cracovia,Cracovia,c_cracovia_5bed2b4b,Cracovia,unchanged,not_applicable,1,Iraq:1,No normalization merge applied.,1,Iraq:1
c_cremonese_7c9dcb3d,Cremonese,Cremonese,c_cremonese_7c9dcb3d,Cremonese,unchanged,not_applicable,2,Paraguay:1; Norway:1,No normalization merge applied.,2,Norway:1; Paraguay:1
c_cruz_azul_71a31d4c,Cruz Azul,Cruz Azul,c_cruz_azul_71a31d4c,Cruz Azul,unchanged,not_applicable,2,Mexico:1; Colombia:1,No normalization merge applied.,2,Colombia:1; Mexico:1
c_crystal_palace_cd11ce68,Crystal Palace,Crystal Palace,c_crystal_palace_cd11ce68,Crystal Palace,unchanged,not_applicable,11,France:2; Colombia:2; Morocco:1; United States:1; Japan:1; Spain:1; Senegal:1; Norway:1; England:1,No normalization merge applied.,11,Colombia:2; England:1; France:2; Japan:1; Morocco:1; Norway:1; Senegal:1; Spain:1; United States:1
c_cs_sfaxien_1128368b,CS Sfaxien,CS Sfaxien,c_cs_sfaxien_1128368b,CS Sfaxien,unchanged,not_applicable,1,Tunisia:1,No normalization merge applied.,1,Tunisia:1
c_cultural_leonesa_4479aa29,Cultural Leonesa,Cultural Leonesa,c_cultural_leonesa_4479aa29,Cultural Leonesa,unchanged,not_applicable,1,Qatar:1,No normalization merge applied.,1,Qatar:1
c_daejeon_hana_0cece60d,Daejeon Hana,Daejeon Hana,c_daejeon_hana_0cece60d,Daejeon Hana,unchanged,not_applicable,1,South Korea:1,No normalization merge applied.,1,South Korea:1
c_den_bosch_bb7ad83e,Den Bosch,Den Bosch,c_den_bosch_bb7ad83e,Den Bosch,unchanged,not_applicable,1,Curacao:1,No normalization merge applied.,1,Curacao:1
c_dender_59951657,Dender,Dender,c_fcv_dender_decd464d,FCV Dender,auto_merge_curated_alias,high,1,Iran:1,Collapsed source variant to canonical club 'FCV Dender'.,2,Canada:1; Iran:1
c_deportivo_la_guaira_c9679b6f,Deportivo La Guaira,Deportivo La Guaira,c_deportivo_la_guaira_c9679b6f,Deportivo La Guaira,unchanged,not_applicable,1,Panama:1,No normalization merge applied.,1,Panama:1
c_derby_county_900d9adb,Derby County,Derby County,c_derby_county_900d9adb,Derby County,unchanged,not_applicable,2,Sweden:1; Norway:1,No normalization merge applied.,2,Norway:1; Sweden:1
c_dibba_al_fujairah_06c16d12,Dibba Al Fujairah,Dibba Al Fujairah,c_dibba_al_fujairah_06c16d12,Dibba FC,manual_canonical_rename,manual_verified,1,Uzbekistan:1,Canonical name manually changed to 'Dibba FC'. No normalization merge applied.,2,Iraq:1; Uzbekistan:1
c_dinamo_moscow_065752cd,Dinamo Moscow,Dinamo Moscow,c_dynamo_moscow_28a6f575,Dynamo Moscow,auto_merge_curated_alias,high,1,Mexico:1,Collapsed source variant to canonical club 'Dynamo Moscow'.,2,Mexico:1; Paraguay:1
c_dinamo_samarqand_94368156,Dinamo Samarqand,Dinamo Samarqand,c_dinamo_samarqand_94368156,Dinamo Samarqand,unchanged,not_applicable,1,Uzbekistan:1,No normalization merge applied.,1,Uzbekistan:1
